crime,scope,t,trend,trend_season,shared_time_effect
causing_death_or_serious_injury_unlawful_driving,CSP,43,-11.917544954641848,-11.886406289029773,-0.02126835081788339
causing_death_or_serious_injury_unlawful_driving,PFA,0,-12.94465719080566,-12.94465719080566,-0.03491167941626981
causing_death_or_serious_injury_unlawful_driving,PFA,1,-12.935791521905228,-12.842961332514855,-0.006773719427869072
causing_death_or_serious_injury_unlawful_driving,PFA,2,-12.926647737800023,-12.728442603325083,-0.08252814352754918
causing_death_or_serious_injury_unlawful_driving,PFA,3,-12.916947723285285,-12.831703450626026,0.049213188064118694
causing_death_or_serious_injury_unlawful_driving,PFA,4,-12.906413363156233,-12.906413363156233,0.13268798737791287
causing_death_or_serious_injury_unlawful_driving,PFA,5,-12.894766542208105,-12.801936352817732,0.034224901056139255
causing_death_or_serious_injury_unlawful_driving,PFA,6,-12.881729145236132,-12.683524010761193,0.07479349341517817
causing_death_or_serious_injury_unlawful_driving,PFA,7,-12.86702305703554,-12.781778784376282,-0.011054709437970356
causing_death_or_serious_injury_unlawful_driving,PFA,8,-12.850370162401568,-12.850370162401568,-0.20149936868262722
causing_death_or_serious_injury_unlawful_driving,PFA,9,-12.831509444789784,-12.738679255399411,-0.00010705120250998513
causing_death_or_serious_injury_unlawful_driving,PFA,10,-12.810844598076873,-12.612639463601933,-0.02989505055861604
causing_death_or_serious_injury_unlawful_driving,PFA,11,-12.789642798487169,-12.70439852582791,0.04014931909283425
causing_death_or_serious_injury_unlawful_driving,PFA,12,-12.76922893022369,-12.76922893022369,0.045401059960947635
causing_death_or_serious_injury_unlawful_driving,PFA,13,-12.75092787748945,-12.658097688099078,-0.13331595490046574
causing_death_or_serious_injury_unlawful_driving,PFA,14,-12.73606452448747,-12.537859390012528,0.18192553222111565
causing_death_or_serious_injury_unlawful_driving,PFA,15,-12.72596375542076,-12.640719482761503,0.048434332521225955
causing_death_or_serious_injury_unlawful_driving,PFA,16,-12.721950454492346,-12.721950454492346,-0.12456173670521395
causing_death_or_serious_injury_unlawful_driving,PFA,17,-12.725349505905239,-12.632519316514866,7.195503261740815e-05
causing_death_or_serious_injury_unlawful_driving,PFA,18,-12.737047845049828,-12.538842710574889,0.04675468385307905
causing_death_or_serious_injury_unlawful_driving,PFA,19,-12.754695691873154,-12.669451419213898,-0.005743197909356354
